corp_code,fy,rcept_no,rcept_dt,report_nm,is_amend,기업명,군,업종코드,cand_rank
00249441,2020,20210322000376,20210322,사업보고서 (2020.12),0,(주)씨씨에스충북방송,콘텐츠,60222,0
00249441,2021,20220321000539,20220321,사업보고서 (2021.12),0,(주)씨씨에스충북방송,콘텐츠,60222,0
00249441,2022,20230320000593,20230320,사업보고서 (2022.12),0,(주)씨씨에스충북방송,콘텐츠,60222,0
00249441,2023,20240320001271,20240320,사업보고서 (2023.12),0,(주)씨씨에스충북방송,콘텐츠,60222,0
00249441,2024,20250704000481,20250704,[기재정정]사업보고서 (2024.12),1,(주)씨씨에스충북방송,콘텐츠,60222,0
00249441,2024,20250318000259,20250318,사업보고서 (2024.12),0,(주)씨씨에스충북방송,콘텐츠,60222,1
00249441,2025,20260323001734,20260323,사업보고서 (2025.12),0,(주)씨씨에스충북방송,콘텐츠,60222,0
00258689,2019,20200331000235,20200331,[기재정정]사업보고서 (2019.12),1,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00258689,2019,20200330003245,20200330,[첨부추가]사업보고서 (2019.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,1
00258689,2020,20210318001273,20210318,사업보고서 (2020.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00258689,2021,20220321001029,20220321,사업보고서 (2021.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00258689,2022,20230320000741,20230320,사업보고서 (2022.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00258689,2023,20240318000479,20240318,사업보고서 (2023.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00258689,2024,20250317000598,20250317,사업보고서 (2024.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00258689,2025,20260318001519,20260318,사업보고서 (2025.12),0,(주)제이와이피엔터테인먼트,콘텐츠,59201,0
00259590,2019,20200330001573,20200330,사업보고서 (2019.12),0,(주)바른손이앤에이,콘텐츠,591,0
00259590,2020,20210322001072,20210322,사업보고서 (2020.12),0,(주)바른손이앤에이,콘텐츠,591,0
00259590,2021,20220816002112,20220816,[기재정정]사업보고서 (2021.12),1,(주)바른손이앤에이,콘텐츠,591,0
