corp_code,기업명,군,fy,has_report,has_gc,adverse,opinion,auditor,n_kam,sig_t1,why_t1,sig_t2,why_t2,sig_2y,sadv_t1,smiss_t1,sadv_t2,smiss_t2,sigB_t1,sigB_t2,sigB_2y
364795,(주)레드로버,콘텐츠,2021,1,0,1,의견거절,2021년 12월 31일 까지 삼화회계법인,0,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
364795,(주)레드로버,콘텐츠,2022,1,1,1,의견거절,2022년 12월 31일 까지 우리회계법인,0,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
364795,(주)레드로버,콘텐츠,2023,1,1,1,의견거절,2023년 12월 31일 까지 세덕회계법인,0,1.0,"비적정의견, GC 재기재",,,1.0,1.0,0.0,,,1.0,,1.0
364795,(주)레드로버,콘텐츠,2024,1,1,1,의견거절,2024년 12월 31일 까지 현대회계법인,0,,,,,,,,,,,,
370006,(주)아이엠비씨,콘텐츠,2019,1,0,0,적정,2018년 12월 31일 까지 삼일회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370006,(주)아이엠비씨,콘텐츠,2020,1,0,0,적정,2020년 12월 31일 까지 한울회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370006,(주)아이엠비씨,콘텐츠,2021,1,0,0,적정,2020년 12월 31일 까지 한울회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370006,(주)아이엠비씨,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 한울회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370006,(주)아이엠비씨,콘텐츠,2023,1,0,0,적정,료되는 보고기간의 연결재무제표는 한울회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
370006,(주)아이엠비씨,콘텐츠,2024,1,0,0,적정,2023년 12월 31일 까지 인덕회계법인,1,,,,,,,,,,,,
397058,주식회사 엠게임,게임,2019,1,0,0,적정,부터 2018년 12월 31일 까지 회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
